('assumpt', 0) 2
('assur', 1) 4
('assur', 2) 1
('assuredli', 2) 1
('astonish', 2) 5
('astonishingli', 2) 1
('astound', 2) 5
('astoundingli', 2) 1
('astrai', -1) 1
('astronom', 0) 3
('astut', 2) 2
('asund', -2) 1
('asylum', 1) 2
('atroci', -2) 1
('atroc', -2) 2
('atrophi', -2) 1
('attack', -1) 2
('attain', 1) 2
('attent', 2) 1
('attest', 2) 1
('attitud', 0) 4
('attract', 2) 5
('attun', 1) 1
('audaci', -2) 3
('audac', -2) 1
('auspici', 2) 1
('auster', -2) 1
('authent', 1) 1
('authoritarian', -1) 1
('authorit', 1) 1
('autocrat', -2) 4
('award', 1) 2
('awar', 0) 2
('autonom', 1) 1
('avalanch', -2) 2
('avaric', -2) 1
('avarici', -2) 2
('aveng', -2) 1
('aver', 2) 1
('avers', -2) 2
('avid', 2) 1
('avidli', 2) 1
('avoid', -1) 2
('aw', 2) 3
('awesom', 2) 4
('awestruck', 2) 1
('aw', -2) 4
('awfulli', -2) 1
('awkward', -2) 2
('ax', -2) 1
('babbl', -2) 1
('babi', 0) 2
('back', 1) 1
('backbit', -2) 2
('backbon', 1) 1
('backward', -2) 2
('bad', -2) 1
('badli', -2) 1
('baffl', -2) 3
('bafflement', -2) 1
('bait', -2) 1
('balanc', 1) 1
('balk', -2) 1
('banal', -2) 3
('bane', -2) 1
('banish', -2) 3
('bankrupt', -1) 2
('bar', -1) 1
('barbarian', -2) 2
('barbar', -2) 7
('bare', -1) 1
('bargain', 2) 2
('barren', -2) 1
('baseless', -2) 1
('bash', -2) 1
('basic', 1) 1
('basic', 0) 1
('bask', 1) 1
('bastard', -2) 2
('baton', 0) 2
('batter', -1) 3
('battl', -1) 1
('battle-lin', -2) 2
('battlefield', -1) 1
('battleground', -2) 2
('batti', -2) 1
('beacon', 1) 1
('bearish', -1) 1
('beast', -2) 2
('beastli', -2) 1
('beatifi', 2) 1
('beauteou', 2) 1
('beauti', 2) 3
('beautifulli', 2) 1
('beautifi', 2) 1
('bedlam', -2) 1
('bedlamit', -2) 1
('befit', 2) 2
('befoul', -2) 1
('befriend', 2) 1
('beg', -2) 3
('beggar', -1) 1
('beggarli', -2) 1
('beguil', -2) 1
('belat', -1) 1
('belabor', -2) 1
('beleagu', -2) 1
('beli', -2) 1
('belief', 0) 4
('believ', 2) 1
('believ', 0) 1
('belittl', -2) 3
('bellicos', -2) 2
('belliger', -2) 4
('belov', 2) 1
('bemoan', -2) 2
('bemus', -2) 1
('benefactor', 1) 1
('benefici', 1) 1
('benefic', 2) 1
('benefici', 2) 2
('beneficiari', 2) 2
('benefit', 1) 4
('benevol', 2) 2
('benign', 1) 1
('bent', -1) 1
('berat', -2) 1
('bereav', -2) 2
('bereft', -2) 1
('berserk', -2) 1
('beseech', -2) 1
('beset', -1) 1
('besid', 0) 1
('besieg', -1) 1
('besmirch', -2) 1
('best', 2) 1
('best-known', 2) 1
('best-perform', 2) 1
('best-sel', 1) 1
('bestial', -2) 1
('betrai', -2) 1
('betray', -2) 3
('better', 2) 1
('better', 1) 1
('better-known', 2) 1
('better-than-expect', 2) 1
('bewail', -2) 1
('bewar', -1) 1
('bewild', -2) 4
('bewilderingli', -2) 1
('bewilder', -2) 1
('bewitch', -2) 1
('bia', -2) 3
('bias', -2) 4
('bicker', -2) 2
('bid-rig', -1) 1
('big', 0) 1
('bitch', -2) 1
('bitchi', -2) 1
('bite', -2) 1
('bitingli', -2) 1
('bitter', -2) 2
('bitterli', -2) 1
('bizarr', -2) 1
('blab', -2) 1
('blabber', -2) 1
('black', -1) 1
('blackmail', -1) 1
('blah', -2) 1
('blame', -2) 3
('blameless', 2) 1
('blameworthi', -2) 1
('bland', -2) 1
('blandish', -2) 1
('blasphem', -2) 3
('blasphemi', -2) 1
('blast', -1) 1
('blast', -2) 1
('blatant', -2) 1
('blatantli', -2) 1
('blather', -2) 1
('bleak', -2) 2
('bleakli', -2) 1
('bleed', -1) 1
('blemish', -1) 2
('bless', 2) 3
('blind', -1) 2
('blind', -2) 2
('blindingli', -2) 1
('blindsid', -2) 1
('bliss', 2) 2
('blissfulli', 2) 1
('blister', -2) 2
('blith', 2) 1
('bloat', -2) 1
('block', -1) 2
('blockhead', -2) 1
('blood', 0) 1
('blood', -1) 1
('bloodsh', -2) 1
('bloodthirsti', -2) 1
('bloodi', -1) 1
('bloom', 1) 1
('blossom', 1) 1
('blow', -1) 2
('blunder', -2) 4
('blunt', -2) 1
('blur', -1) 1
('blurt', -2) 1
('boast', 2) 1
('boast', -2) 2
('boggl', -2) 1
('bogu', -2) 1
('boil', -2) 2
('boister', -2) 1
('bold', 2) 2
('boldli', 2) 1
('bolster', 2) 1
('bombard', -1) 1
('bomb', -1) 1
('bombard', -2) 2
('bombast', -2) 1
('bondag', -2) 1
('bonker', -2) 2
('bonni', 2) 1
('bonu', 1) 1
('boom', 1) 2
('boost', 1) 2
('bore', -2) 3
('boredom', -2) 1
('botch', -2) 1
('bother', -2) 2
('bothersom', -2) 1
('boundless', 2) 1
('bounti', 2) 1
('bowdler', -2) 1
('boycott', -1) 2
('brag', 0) 2
('braggart', -2) 2
('bragger', -2) 2
('brain', 2) 2
('brainwash', -2) 1
('braini', 2) 1
('brash', -2) 2
('brashli', -2) 1
('brat', -2) 1
('bravado', -2) 1
('brave', 2) 2
('braveri', 2) 2
('brazen', -2) 3
('brazenli', -2) 2
('breach', -1) 2
('break', -1) 1
('break-point', -2) 2
('breakdown', -1) 1
('breakthrough', 1) 4
('breathless', 2) 2
('breathtak', 2) 1
('breathtakingli', 2) 1
('bright', 1) 2
('brighten', 1) 1
('brillianc', 1) 1
('brilliant', 2) 2
('brilliantli', 2) 1
('brimston', -2) 2
('brisk', 1) 1
('bristl', -2) 1
('brittl', -1) 1
('broad', 1) 1
('broad-bas', 0) 1
('broke', -1) 1
('broken-heart', -2) 1
('brood', -2) 1
('brook', 2) 1
('brotherli', 1) 1
('browbeat', -2) 1
('bruis', -1) 1
('brusqu', -2) 1
('brutal', -2) 7
('brutalis', -2) 2
('brute', -2) 1
('brutish', -2) 1
('bug', -1) 1
('buckl', -1) 1
('bulki', -1) 1
('bull', 1) 2
('bulli', -2) 4
('bullish', 1) 2
('bullyingli', -2) 1
('bum', -1) 1
('bumpi', -1) 1
('bungl', -2) 1
('bungler', -2) 1
('bunk', -1) 1
('buoyant', 1) 1
('burden', -2) 2
('burdensom', -2) 3
('burn', -2) 1
('busi', -1) 1
('busybodi', -2) 1
('butcher', -1) 1
('butcheri', -2) 1
('byzantin', -2) 1
('cackl', -2) 1
('cajol', -2) 1
('calam', -2) 3
('calamit', -2) 2
('callou', -2) 1
('calm', 1) 3
('calm', 2) 1
('calumni', -2) 6
('cancer', -1) 2
('candid', 2) 1
('candor', 2) 1
('cannib', -2) 2
('capabl', 1) 3
('capit', 1) 1
('capitul', -1) 1
('caprici', -2) 3
('capsiz', -1) 1
('captiv', 2) 3
('captiv', -1) 1
('care', 1) 2
('carefre', 2) 1
('careless', -2) 2
('caricatur', -2) 1
('carnag', -2) 1
('carp', -2) 1
('cartoon', -1) 2
('cartoonish', -2) 1
('cash-strap', -1) 1
('castig', -2) 1
('casualti', -1) 1
('cataclysm', -2) 4
('catalyst', 2) 2
('catastroph', -2) 6
('catchi', 2) 1
('caustic', -2) 2
('cautionari', -2) 1
('cautiou', -1) 1
('cave', -1) 1
('ceaseless', 0) 1
('celebr', 2) 3
('celebratori', 2) 1
('celebr', 1) 1
('censur', -2) 3
('central', 0) 1
('certain', 0) 1
('certainli', 0) 1
('certifi', 0) 1
('chafe', -2) 1
('chaff', -2) 1
('chagrin', -2) 2
('challeng', -1) 3
('champion', 1) 3
('champ', 1) 1
('chant', 0) 2
('chao', -2) 1
('chaotic', -2) 1
('charisma', -2) 1
('charismat', 2) 1
('charit', 1) 2
('chariti', 1) 1
('charm', 2) 5
('charmingli', 2) 1
('chast', 2) 1
('chasten', -2) 1
('chastis', -2) 2
('chatter', -2) 1
('chatterbox', -2) 1
('cheapen', -2) 1
('cheap', -2) 1
('cheat', -2) 2
('cheater', -2) 1
('cheer', 2) 3
('cheeri', 2) 1
('cheerless', -2) 1
('cherish', 2) 2
('cherub', 2) 1
('chic', 2) 1
('chide', -2) 1
('childish', -2) 1
('chill', -1) 1
('chilli', -1) 1
('chit', -2) 1
('chivalri', 2) 1
('chivalr', 2) 1
('choppi', -1) 1
('choke', -1) 1
('chore', -1) 1
('chronic', -1) 1
('chum', 1) 1
('civil', 2) 1
('civil', 1) 4
('claim', 0) 1
('clamor', -1) 2
('clandestin', 0) 1
('clariti', 1) 1
('clash', -1) 2
('classic', 1) 1
('clean', 1) 1
('cleanli', 1) 1
('cleans', 1) 1
('clear', 1) 1
('clear-cut', 2) 1
('clearer', 2) 2
('clearli', 2) 1
('clever', 2) 1
('clich', -2) 2
('cliqu', -1) 1
('clog', -1) 1
('close', -1) 1
('close', 2) 2
('cloud', -2) 1
('clout', 2) 2
('clumsi', -2) 1
('co-oper', 1) 2
('coars', -1) 1
('coax', 2) 1
('cocki', -2) 1
('coddl', 1) 1
('coerc', -2) 1
('coercion', -2) 1
('coerciv', -2) 1
('cogent', 2) 1
('cohes', 1) 3
('cogit', 0) 1
('cogniz', 0) 3
('coher', 1) 2
('coher', 2) 2
('cold', -1) 1
('coldli', -2) 1
('collaps', -1) 2
('collid', -1) 1
('collud', -2) 1
('collus', -2) 1
('color', 1) 1
('coloss', 1) 1
('comb', -1) 1
('comeback', 1) 2
('comedi', -1) 2
('come', 2) 1
('comfort', 1) 4
('comfort', 2) 1
('comic', -1) 1
('commend', 2) 3
('commensur', 1) 1
('commonsens', 1) 4
('comment', 0) 4
('commodi', 1) 1
('commiser', -2) 1
('commit', 1) 2
('commonplac', -1) 1
('commot', -2) 2
('compact', 1) 1
('compass', 2) 1
('compassion', 2) 1
('compat', 1) 2
('compel', -2) 1
('compel', 2) 2
('compens', 2) 1
('compet', 1) 3
('competit', 1) 3
('complac', -2) 2
('complain', -2) 3
('complaint', -2) 3
('complement', 2) 1
('complement', 1) 1
('complet', 0) 2
('complex', -1) 1
('compliant', 2) 2
('complic', -1) 3
('complicit', -2) 1
('compliment', 2) 1
('complimentari', 2) 1
('comprehend', 0) 1
('comprehens', 1) 1
('compromis', 1) 5
('compuls', -2) 2
('compulsori', -1) 1
('comrad', 2) 2
('conced', -2) 1
('conceit', -2) 2
('conceiv', 2) 2
('concern', -2) 5
('concern', -1) 1
('concern', 0) 2
('concert', 0) 1
('concess', -1) 4
('concili', 2) 1
('conciliatori', 2) 1
('conclus', 1) 1
('concret', 1) 1
('concur', 2) 1
('condescend', -2) 2
('condescendingli', -2) 1
('condescens', -2) 1
('condemn', -2) 4
('condol', -2) 3
('condon', 2) 1
('conduc', 1) 2
('confer', 1) 1
('confess', -2) 4
('confid', 0) 1
('confid', 2) 3
('conflict', -1) 2
('confound', -1) 4
('confront', -1) 2
('confront', -2) 2
('confus', -2) 6
('confut', 2) 1
('congeni', 2) 1
('congest', -1) 2
('congratul', 2) 3
('congratulatori', 2) 1
('conjectur', 0) 1
('conquer', 1) 1
('conscienc', 0) 1
('conscienc', 1) 1
('conscienti', 2) 1
('conscious', 0) 2
('consensu', 2) 1
('consent', 2) 1
('consequ', 0) 1
('consid', 0) 1
('consider', 0) 4
('consider', 2) 1
('consist', 1) 1
('consol', 1) 1
('conspicu', -2) 3
('conspiraci', -1) 4
('conspir', -2) 3
('conspiratori', -2) 1
('constanc', 2) 1
('constern', -2) 1
('constitut', 0) 2
('constrain', -1) 1
('constraint', -1) 1
('construct', 1) 3
('consum', -1) 1
('consumm', 2) 1
('contagi', -1) 1
('contamin', -1) 2
('contempl', 0) 1
('contempt', -2) 2
('contemptu', -2) 2
('contend', -2) 1
('content', 2) 2
('content', 1) 1
('content', -2) 1
('contenti', -2) 2
('continu', 1) 1
('continu', 0) 1
('contort', -2) 3
('contradict', -2) 2
('contradictori', -2) 1
('contrari', -2) 2
('contraven', -2) 1
('contribut', 1) 2
('contriv', -2) 2
('controversi', -1) 4
('conveni', 1) 1
('conveni', 2) 2
('convict', 1) 2
('convinc', 1) 1
('convinc', 2) 2
('convincingli', 2) 1
('convolut', -2) 1
('cooper', 1) 5
('cope', -1) 2
('cordial', 1) 1
('cornerston', 2) 2
('correct', 1) 2
('correct', 0) 1
